date,value,punto
1995.01.16,22.38263702,Urubamba
1995.02.14,22.50734711,Urubamba
1995.03.16,21.52403831,Urubamba
1995.04.15,23.55698395,Urubamba
1995.05.16,24.12175941,Urubamba
1995.06.15,22.94041252,Urubamba
1995.07.16,23.08927917,Urubamba
1995.08.16,24.14056015,Urubamba
1995.09.15,22.84454536,Urubamba
1995.10.16,24.14388847,Urubamba
1995.11.15,23.1055069,Urubamba
1995.12.16,22.72775841,Urubamba
1996.01.16,21.16069984,Urubamba
1996.02.15,21.61866379,Urubamba
1996.03.16,21.98662949,Urubamba
1996.04.15,21.94909286,Urubamba
1996.05.16,22.80617714,Urubamba
1996.06.15,22.33804512,Urubamba
1996.07.16,21.97691917,Urubamba
1996.08.16,21.66214752,Urubamba
1996.09.15,23.00065231,Urubamba
1996.10.16,23.48039818,Urubamba
1996.11.15,22.75785065,Urubamba
1996.12.16,21.7634697,Urubamba
1997.01.16,21.81742477,Urubamba
1997.02.14,20.82066154,Urubamba
1997.03.16,21.64413071,Urubamba
1997.04.15,22.46832085,Urubamba
1997.05.16,22.50017548,Urubamba
1997.06.15,23.06549263,Urubamba
1997.07.16,23.01589966,Urubamba
1997.08.16,21.21526718,Urubamba
1997.09.15,23.16889572,Urubamba
1997.10.16,24.38135719,Urubamba
1997.11.15,23.7695961,Urubamba
1997.12.16,23.49946022,Urubamba
1998.01.16,23.26378632,Urubamba
1998.02.14,23.60043526,Urubamba
1998.03.16,23.85833168,Urubamba
1998.04.15,24.71830177,Urubamba
1998.05.16,24.79491997,Urubamba
1998.06.15,22.58968353,Urubamba
1998.07.16,23.73412132,Urubamba
1998.08.16,23.96578598,Urubamba
1998.09.15,24.3211441,Urubamba
1998.10.16,23.59144402,Urubamba
1998.11.15,23.37745476,Urubamba
1998.12.16,22.38502312,Urubamba
1999.01.16,22.04105186,Urubamba
1999.02.14,20.67261696,Urubamba
1999.03.16,20.09196854,Urubamba
1999.04.15,21.245821,Urubamba
1999.05.16,22.23833275,Urubamba
1999.06.15,22.45615768,Urubamba
1999.07.16,21.24044418,Urubamba
1999.08.16,22.73771095,Urubamba
1999.09.15,22.38808823,Urubamba
1999.10.16,22.04705429,Urubamba
1999.11.15,24.08948898,Urubamba
1999.12.16,22.39309311,Urubamba
2000.01.16,21.0558567,Urubamba
2000.02.15,21.43410683,Urubamba
2000.03.16,21.55655098,Urubamba
2000.04.15,23.45252228,Urubamba
2000.05.16,23.8752079,Urubamba
2000.06.15,22.55760193,Urubamba
2000.07.16,22.23007202,Urubamba
2000.08.16,22.93115997,Urubamba
2000.09.15,24.06230927,Urubamba
2000.10.16,22.71134567,Urubamba
2000.11.15,25.23367882,Urubamba
2000.12.16,23.17429733,Urubamba
2001.01.16,20.7323761,Urubamba
2001.02.14,20.70478439,Urubamba
2001.03.16,21.26845551,Urubamba
2001.04.15,22.21986389,Urubamba
2001.05.16,22.90733337,Urubamba
2001.06.15,22.37408257,Urubamba
2001.07.16,22.21202469,Urubamba
2001.08.16,22.64233017,Urubamba
2001.09.15,24.04431534,Urubamba
2001.10.16,24.55166626,Urubamba
2001.11.15,23.90738678,Urubamba
2001.12.16,23.98496819,Urubamba
2002.01.16,23.2696476,Urubamba
2002.02.14,21.6842556,Urubamba
2002.03.16,22.59993744,Urubamba
2002.04.15,22.73403358,Urubamba
2002.05.16,22.9484024,Urubamba
2002.06.15,22.98836899,Urubamba
2002.07.16,20.18290901,Urubamba
2002.08.16,22.99969292,Urubamba
2002.09.15,23.17967606,Urubamba
2002.10.16,23.0724926,Urubamba
2002.11.15,23.12037277,Urubamba
2002.12.16,22.92986107,Urubamba
2003.01.16,22.52410889,Urubamba
2003.02.14,23.13709259,Urubamba
2003.03.16,22.50004959,Urubamba
2003.04.15,23.31640434,Urubamba
2003.05.16,23.0234127,Urubamba
2003.06.15,22.95205116,Urubamba
2003.07.16,22.19535065,Urubamba
2003.08.16,21.96900368,Urubamba
2003.09.15,23.24283028,Urubamba
2003.10.16,24.64347649,Urubamba
2003.11.15,24.46882057,Urubamba
2003.12.16,22.31743622,Urubamba
2004.01.16,21.75969505,Urubamba
2004.02.15,21.58520889,Urubamba
2004.03.16,22.50726509,Urubamba
2004.04.15,23.4245491,Urubamba
2004.05.16,23.35822105,Urubamba
2004.06.15,21.16478729,Urubamba
2004.07.16,20.57569504,Urubamba
2004.08.16,20.93856812,Urubamba
2004.09.15,22.41795921,Urubamba
2004.10.16,22.95223808,Urubamba
2004.11.15,23.17531967,Urubamba
2004.12.16,22.86664581,Urubamba
2005.01.16,22.6919651,Urubamba
2005.02.14,21.84946632,Urubamba
2005.03.16,22.32644081,Urubamba
2005.04.15,23.13803482,Urubamba
2005.05.16,24.28586388,Urubamba
2005.06.15,22.81721115,Urubamba
2005.07.16,22.20837784,Urubamba
2005.08.16,23.43944168,Urubamba
2005.09.15,21.98408127,Urubamba
2005.10.16,22.47055244,Urubamba
2005.11.15,23.22726631,Urubamba
