date,value,punto
1993.02.14,19.13220406,Ollantaytambo
1993.03.16,18.9370842,Ollantaytambo
1993.04.15,19.37830162,Ollantaytambo
1993.05.16,20.64661789,Ollantaytambo
1993.06.15,21.22319984,Ollantaytambo
1993.07.16,20.63669586,Ollantaytambo
1993.08.16,20.11715317,Ollantaytambo
1993.09.15,20.71366882,Ollantaytambo
1993.10.16,21.15686226,Ollantaytambo
1993.11.15,21.10002708,Ollantaytambo
1993.12.16,20.1830349,Ollantaytambo
1994.01.16,19.09287453,Ollantaytambo
1994.02.14,19.12323952,Ollantaytambo
1994.03.16,18.96247482,Ollantaytambo
1994.04.15,19.26461792,Ollantaytambo
1994.05.16,20.46861839,Ollantaytambo
1994.06.15,20.39270973,Ollantaytambo
1994.07.16,20.79833603,Ollantaytambo
1994.08.16,21.6782341,Ollantaytambo
1994.09.15,21.32896042,Ollantaytambo
1994.10.16,21.6850338,Ollantaytambo
1994.11.15,21.45765305,Ollantaytambo
1994.12.16,20.62220955,Ollantaytambo
1995.01.16,20.28038597,Ollantaytambo
1995.02.14,20.1342907,Ollantaytambo
1995.03.16,19.30465508,Ollantaytambo
1995.04.15,20.82406235,Ollantaytambo
1995.05.16,21.10549545,Ollantaytambo
1995.06.15,20.78778076,Ollantaytambo
1995.07.16,21.43453407,Ollantaytambo
1995.08.16,22.68956947,Ollantaytambo
1995.09.15,21.45466232,Ollantaytambo
1995.10.16,22.3685112,Ollantaytambo
1995.11.15,21.58189583,Ollantaytambo
1995.12.16,20.42798996,Ollantaytambo
1996.01.16,18.77861595,Ollantaytambo
1996.02.15,19.24271584,Ollantaytambo
1996.03.16,19.63241768,Ollantaytambo
1996.04.15,19.58829308,Ollantaytambo
1996.05.16,20.21071434,Ollantaytambo
1996.06.15,20.29386139,Ollantaytambo
1996.07.16,20.27120018,Ollantaytambo
1996.08.16,20.40677643,Ollantaytambo
1996.09.15,21.67887497,Ollantaytambo
1996.10.16,21.93891144,Ollantaytambo
1996.11.15,21.07980537,Ollantaytambo
1996.12.16,19.61615944,Ollantaytambo
1997.01.16,19.11571503,Ollantaytambo
1997.02.14,18.62030602,Ollantaytambo
1997.03.16,19.16597939,Ollantaytambo
1997.04.15,19.66437721,Ollantaytambo
1997.05.16,19.82042503,Ollantaytambo
1997.06.15,21.02145195,Ollantaytambo
1997.07.16,21.41266632,Ollantaytambo
1997.08.16,19.67053413,Ollantaytambo
1997.09.15,21.69166946,Ollantaytambo
1997.10.16,22.70134735,Ollantaytambo
1997.11.15,21.98998833,Ollantaytambo
1997.12.16,21.65460205,Ollantaytambo
1998.01.16,21.16795921,Ollantaytambo
1998.02.14,21.28907967,Ollantaytambo
1998.03.16,21.38277817,Ollantaytambo
1998.04.15,22.18698883,Ollantaytambo
1998.05.16,22.10905838,Ollantaytambo
1998.06.15,20.76076889,Ollantaytambo
1998.07.16,21.90737724,Ollantaytambo
1998.08.16,22.51448059,Ollantaytambo
1998.09.15,22.88666725,Ollantaytambo
1998.10.16,21.98138428,Ollantaytambo
1998.11.15,21.5345993,Ollantaytambo
1998.12.16,20.46318436,Ollantaytambo
1999.01.16,19.63087845,Ollantaytambo
1999.02.14,18.34764862,Ollantaytambo
1999.03.16,17.90024948,Ollantaytambo
1999.04.15,18.90005493,Ollantaytambo
1999.05.16,19.80342865,Ollantaytambo
1999.06.15,20.48379326,Ollantaytambo
1999.07.16,19.76053429,Ollantaytambo
1999.08.16,21.35853004,Ollantaytambo
1999.09.15,21.073215480000002,Ollantaytambo
1999.10.16,20.45579529,Ollantaytambo
1999.11.15,22.08647156,Ollantaytambo
1999.12.16,20.17898941,Ollantaytambo
2000.01.16,18.54665375,Ollantaytambo
2000.02.15,18.55791473,Ollantaytambo
2000.03.16,18.70998764,Ollantaytambo
2000.04.15,20.46171188,Ollantaytambo
2000.05.16,21.0554142,Ollantaytambo
2000.06.15,20.41324997,Ollantaytambo
2000.07.16,20.29576111,Ollantaytambo
2000.08.16,21.16156006,Ollantaytambo
2000.09.15,22.42503738,Ollantaytambo
2000.10.16,20.79027176,Ollantaytambo
2000.11.15,23.18534088,Ollantaytambo
2000.12.16,20.65761375,Ollantaytambo
2001.01.16,18.12689781,Ollantaytambo
2001.02.14,18.2721386,Ollantaytambo
2001.03.16,18.67099762,Ollantaytambo
2001.04.15,19.65608215,Ollantaytambo
2001.05.16,20.04425621,Ollantaytambo
2001.06.15,20.36346436,Ollantaytambo
2001.07.16,20.34300041,Ollantaytambo
2001.08.16,20.8997612,Ollantaytambo
2001.09.15,22.07728195,Ollantaytambo
2001.10.16,22.46202278,Ollantaytambo
2001.11.15,21.96736526,Ollantaytambo
2001.12.16,21.40581322,Ollantaytambo
2002.01.16,20.84867096,Ollantaytambo
2002.02.14,18.90084267,Ollantaytambo
2002.03.16,19.64459801,Ollantaytambo
2002.04.15,19.76930237,Ollantaytambo
2002.05.16,20.22609711,Ollantaytambo
2002.06.15,20.70386314,Ollantaytambo
2002.07.16,18.487463,Ollantaytambo
2002.08.16,21.17537689,Ollantaytambo
2002.09.15,21.42369652,Ollantaytambo
2002.10.16,21.26048851,Ollantaytambo
2002.11.15,21.13193703,Ollantaytambo
2002.12.16,20.73202896,Ollantaytambo
2003.01.16,20.10398865,Ollantaytambo
2003.02.14,20.28946304,Ollantaytambo
2003.03.16,19.56338501,Ollantaytambo
2003.04.15,20.27177238,Ollantaytambo
2003.05.16,20.35853195,Ollantaytambo
2003.06.15,20.97362709,Ollantaytambo
2003.07.16,20.47241783,Ollantaytambo
2003.08.16,20.47837257,Ollantaytambo
2003.09.15,21.44410515,Ollantaytambo
2003.10.16,22.7373848,Ollantaytambo
2003.11.15,22.77378654,Ollantaytambo
2003.12.16,20.4194088,Ollantaytambo
2004.01.16,19.36769295,Ollantaytambo
2004.02.15,19.4361248,Ollantaytambo
2004.03.16,20.12132835,Ollantaytambo
2004.04.15,20.604702,Ollantaytambo
2004.05.16,20.76599503,Ollantaytambo
2004.06.15,19.58525848,Ollantaytambo
2004.07.16,19.21658325,Ollantaytambo
2004.08.16,19.64773941,Ollantaytambo
2004.09.15,20.8481884,Ollantaytambo
2004.10.16,21.66907883,Ollantaytambo
2004.11.15,21.85855293,Ollantaytambo
2004.12.16,20.88643837,Ollantaytambo
2005.01.16,20.56705093,Ollantaytambo
2005.02.14,19.76230049,Ollantaytambo
2005.03.16,20.11681366,Ollantaytambo
2005.04.15,20.73612976,Ollantaytambo
2005.05.16,21.71881104,Ollantaytambo
2005.06.15,21.09569168,Ollantaytambo
2005.07.16,20.92594337,Ollantaytambo
2005.08.16,22.13586235,Ollantaytambo
2005.09.15,20.76000404,Ollantaytambo
2005.10.16,21.17620277,Ollantaytambo
2005.11.15,21.74484062,Ollantaytambo
2005.12.16,20.43514824,Ollantaytambo
2006.01.16,18.78941345,Ollantaytambo
2006.02.14,19.96809006,Ollantaytambo
2006.03.16,19.34220123,Ollantaytambo
2006.04.15,19.6065731,Ollantaytambo
2006.05.16,20.42951584,Ollantaytambo
2006.06.15,20.2264843,Ollantaytambo
2006.07.16,21.15308952,Ollantaytambo
2006.08.16,21.37942886,Ollantaytambo
2006.09.15,22.07126617,Ollantaytambo
2006.10.16,21.86337852,Ollantaytambo
2006.11.15,20.5271225,Ollantaytambo
2006.12.16,20.33229446,Ollantaytambo
2007.01.16,20.38319206,Ollantaytambo
2007.02.14,19.72773933,Ollantaytambo
2007.03.16,18.92250443,Ollantaytambo
2007.04.15,19.51929665,Ollantaytambo
2007.05.16,20.0667572,Ollantaytambo
2007.06.15,21.28676224,Ollantaytambo
2007.07.16,19.99639893,Ollantaytambo
2007.08.16,21.72519684,Ollantaytambo
